Time Stamp,Model Name,Dataset,Number of Runs,Computation,Std Computation,Epoch,Number of Features,Hidden Channels,Learning Rate,Weight Decay,Dropout Rate,Criterion,Loss,Accuracy,Precision,Recall,F1,Std Loss,Std Accuracy,Std Precision,Std Recall,Std F1
2024-05-27 21:49:05,GraphSAGE With Cross Entropy Loss,chrome-run-01-without-centrality-metrics,3,247.20409417152405,22.334176078449794,1000,37,32,0.005,0.0005,0.0,CrossEntropyLoss,0.21842724084854126,0.8461538461538461,0.7326633165829146,0.854630715123095,0.788961038961039,0.03289138814765968,0.010889288948199035,0.017329521238685412,0.005822455813111123,0.01265196845100675
2024-05-27 21:49:05,GraphSAGE With Cross Entropy Loss,chrome-run-01-without-centrality-metrics,3,198.43307375907898,22.334176078449794,1000,37,32,0.005,0.0005,0.0,CrossEntropyLoss,0.19483990967273712,0.8449704142011835,0.7309236947791165,0.8534583821805393,0.7874526771227691,0.03289138814765968,0.010889288948199035,0.017329521238685412,0.005822455813111123,0.01265196845100675
2024-05-27 21:49:05,GraphSAGE With Cross Entropy Loss,chrome-run-01-without-centrality-metrics,3,244.28274178504944,22.334176078449794,1000,37,32,0.005,0.0005,0.0,CrossEntropyLoss,0.13991758227348328,0.8224852071005917,0.6950629235237173,0.8417350527549824,0.7613997879109227,0.03289138814765968,0.010889288948199035,0.017329521238685412,0.005822455813111123,0.01265196845100675
2024-05-27 22:03:06,GraphSAGE With Cross Entropy Loss,chrome-run-01-without-centrality-metrics,3,4m 27s,3.730537359257756,1000,37,32,0.005,0.0005,0.0,CrossEntropyLoss,0.19144971668720245,0.8443129520052598,0.7380372957149155,0.8366549433372411,0.7833552104444891,0.053168716193104704,0.00501398447467129,0.02251181611280895,0.031461847921641826,0.0009555771926394751
2024-05-27 22:16:17,GraphSAGE With Focal Loss,chrome-run-01-without-centrality-metrics,3,4m 22s,2.995167809238145,1000,37,32,0.005,0.0005,0.0,FocalLoss,0.05678973843653997,0.8419460880999342,0.7868285197214755,0.7604533020711215,0.7612274109858651,0.0049133949750818934,0.015275777232302553,0.07586958197589272,0.11877583582032275,0.03232394304014972
2024-05-27 22:29:17,GraphSAGE With Hybrid Loss,chrome-run-01-without-centrality-metrics,3,4m 20s,0.25852106319342005,1000,37,32,0.005,0.0005,0.0,HybridLoss,0.1316630740960439,0.8389217619986851,0.8023141569443192,0.7006643220007814,0.7422075840663046,0.03694766904968429,0.011361738107680699,0.036229139926551135,0.09107215392492307,0.040270573530821925
2024-06-05 17:32:41,GraphSAGE With Cross Entropy Loss,chrome-run-01-without-centrality-metrics,2,3m 46s,15.664178371429443,425,33,64,0.005,0.0005,0.0,CrossEntropyLoss,0.20186517387628555,0.8474141334386103,0.7345931779822831,0.8617269544924153,0.7926582018778368,0.00726734846830368,0.005724437425977114,0.018274392403535455,0.01925320886814469,0.002495983144189584
2024-06-05 17:38:59,GraphSAGE With Focal Loss,chrome-run-01-without-centrality-metrics,2,2m 41s,5.771818399429321,345,33,64,0.005,0.0005,0.0,FocalLoss,0.07116052880883217,0.8332017370706672,0.87482344844096,0.5915985997666278,0.705029652377525,0.004983875900506973,0.012435846821950258,0.0009830031719432752,0.04200700116686118,0.03024455209099214
2024-06-05 17:44:02,GraphSAGE With Hybrid Loss,chrome-run-01-without-centrality-metrics,2,2m 35s,7.635458827018738,358,33,64,0.005,0.0005,0.0,HybridLoss,0.15157408267259598,0.8409001184366364,0.7388440589614813,0.8267211201866977,0.778533240353324,0.00033699721097946167,0.007500986971969992,0.03268292152072305,0.04259043173862309,0.0007554625755463173
