,id,count,tracking,binary_tracker,prediction
9,js.monitor.azure.com,38,0.5263157894736842,1,0
33,d.alicdn.com,7,0.0,0,1
40,ynuf.aliapp.org,27,0.0,0,1
60,siteintercept.qualtrics.com,662,1.0,1,0
70,domains.google.com,2,0.0,0,1
75,apis.google.com,322,0.0,0,1
94,csp.withgoogle.com,83,0.0,0,1
114,az725175.vo.msecnd.net,8,1.0,1,0
115,www.instagram.com,15,0.0,0,1
116,assets.adobedtm.com,2865,0.7015706806282722,1,0
118,sse.qubit.com,5,0.0,0,1
136,banners-cdn77.trafficfactory.biz,3,1.0,1,0
139,s3t3d2y8.afcdn.net,148,1.0,1,0
146,js-agent.newrelic.com,3343,1.0,1,0
168,wcpstatic.microsoft.com,5,0.0,0,1
169,code.jquery.com,334,0.0,0,1
177,gateway.foresee.com,114,1.0,1,0
179,www.paypal.com,70,0.7285714285714285,1,0
183,search.usa.gov,35,0.0,0,1
187,www.recaptcha.net,111,0.0,0,1
199,c0.pubmine.com,4,1.0,1,0
201,appleid.cdn-apple.com,36,0.0,0,1
213,www.pinterest.de,1,0.0,0,1
238,client-registry.mutinycdn.com,76,1.0,1,0
240,client.mutinycdn.com,156,1.0,1,0
269,consentmanager.mgr.consensu.org,20,0.0,0,1
272,cdn.bizibly.com,49,0.0,0,1
273,fastly-insights.com,5,1.0,1,0
284,lfpg-v4.pops.fastly-insights.com,2,1.0,1,0
305,dzen.ru,2,0.0,0,1
311,static-mon.yandex.net,10,0.0,0,1
312,collect.datas3ntinel.com,3,0.0,0,1
315,avatars.mds.yandex.net,173,0.0057803468208092,0,1
319,favicon.yandex.net,53,0.0188679245283018,0,1
321,metrics.api.drift.com,337,1.0,1,0
329,js-eu1.hs-scripts.com,15,0.0,0,1
330,cdn.optimizely.com,169,0.9289940828402368,1,0
331,js-eu1.hs-banner.com,24,0.0,0,1
335,track-eu1.hubspot.com,17,0.0,0,1
342,twitter.com,1,0.0,0,1
343,www.baidu.com,2,0.0,0,1
362,www.amazon.com,2,0.0,0,1
383,dr3fr5q4g2ul9.cloudfront.net,7,1.0,1,0
384,d2ef20sk9hi1u3.cloudfront.net,7,1.0,1,0
399,www.bing.com,4,0.25,0,1
405,ac.dun.163.com,5,0.0,0,1
413,www.dropbox.com,6,0.0,0,1
430,consent.dropbox.com,2,0.0,0,1
435,tpc.googlesyndication.com,2684,1.0,1,0
450,www.ebayadservices.com,13,0.2307692307692307,0,1
453,image.sendsay.ru,4,0.0,0,1
454,code.gbzu92.ru,1,0.0,0,1
458,adfstat.yandex.ru,3,0.0,0,1
460,iteratehq.com,20,0.0,0,1
465,tech.rtb.mts.ru,7,0.0,0,1
470,whitesaas.com,2,0.0,0,1
487,usageanalytics.coveo.com,22,1.0,1,0
526,trailblazer.me,15,0.0,0,1
531,consent.trustarc.com,686,0.1632653061224489,0,1
536,consent-pref.trustarc.com,104,0.0,0,1
543,sofire.bdstatic.com,77,1.0,1,0
548,sofire.baidu.com,200,0.0,0,1
631,video.ktkjmp.com,51,1.0,1,0
635,impactserving.com,1,1.0,1,0
644,m.sancdn.net,23,1.0,1,0
680,api.mindbox.ru,95,0.431578947368421,0,1
728,h5-global.alimebot.aliexpress.com,2,0.0,0,1
751,challenges.cloudflare.com,139,0.0,0,1
755,js.media-lab.ai,6,0.5,1,0
760,quantcast.mgr.consensu.org,133,0.0,0,1
771,cs-rtb.minutemedia-prebid.com,24,1.0,1,0
811,tv.springserve.com,2,1.0,1,0
828,www.influ2.com,2,0.0,0,1
832,t.influ2.com,6,0.3333333333333333,0,1
837,st.top100.ru,38,0.0,0,1
839,s.adroll.com,249,1.0,1,0
844,wkbrs1.tingyun.com,8,0.25,0,1
858,medium.com,1,0.0,0,1
867,p.typekit.net,389,0.9948586118251928,1,0
875,assets.map.brightcove.com,5,0.0,0,1
877,map.brightcove.com,6,0.0,0,1
901,wp.aliexpress.com,1,0.0,0,1
914,res.wx.qq.com,24,0.0,0,1
915,aeis.alicdn.com,9,0.0,0,1
918,us.ynuf.aliapp.org,4,0.0,0,1
923,sync-t1.taboola.com,58,0.0,0,1
946,yandex.com,6,0.0,0,1
947,t.adx.opera.com,7,0.0,0,1
949,im.bluevoox.com,7,0.0,0,1
950,qiyukf.com,11,0.0,0,1
953,ssl.captcha.qq.com,7,0.0,0,1
957,da.qiyukf.com,5,0.2,0,1
958,open.work.weixin.qq.com,4,0.0,0,1
968,embed.acuityscheduling.com,1,0.0,0,1
970,d3e54v103j8qbb.cloudfront.net,86,0.0,0,1
977,www.dianomi.com,16,1.0,1,0
982,widgets.outbrain.com,105,0.0571428571428571,0,1
991,odb.outbrain.com,12,0.0,0,1
999,static.rnet.plus,2,1.0,1,0
1001,stats.mos.ru,1,1.0,1,0
1019,login.taobao.com,1,0.0,0,1
1020,o.alicdn.com,7,0.0,0,1
1030,api.solvvy.com,5,0.8,1,0
1034,cmp.quantcast.com,460,0.0,0,1
1040,img.riskified.com,57,0.0,0,1
1044,c.riskified.com,26,0.0,0,1
1045,tbskip.taobao.com,1,0.0,0,1
1067,embed-ssl.wistia.com,86,0.0,0,1
1079,fast.ssqt.io,2,0.0,0,1
1080,consentcdn.cookiebot.com,144,0.0,0,1
1090,code.cake025.ru,1,0.0,0,1
1106,ict.infinity-tracking.net,2,1.0,1,0
1115,cmp.osano.com,131,0.0,0,1
1120,cnstrc.com,5,0.0,0,1
1126,cdn.adgrx.com,1,1.0,1,0
1130,bundler.wix-code.com,5,0.0,0,1
1133,117351982.intellimizeio.com,1,1.0,1,0
1136,tattle.api.osano.com,70,0.0,0,1
1138,metal.prod.atl-paas.net,6,0.0,0,1
1140,auth.services.adobe.com,1,0.0,0,1
1145,events.launchdarkly.com,143,1.0,1,0
1147,geo2.adobe.com,1,0.0,0,1
1152,gs.mountain.com,1,0.0,0,1
1169,a-fds.youborafds01.com,2,1.0,1,0
1172,m.stripe.com,59,1.0,1,0
1181,ats-wrapper.privacymanager.io,30,0.0,0,1
1197,445b2eba1211f043d37dc4994c50112384f41204.cws.conviva.com,12,1.0,1,0
1204,mv.outbrain.com,43,0.0,0,1
1208,mktg.tags.f5.com,2,0.5,1,0
1250,ade.googlesyndication.com,150,0.26,0,1
1259,www.asadcdn.com,355,1.0,1,0
1264,experience.tinypass.com,51,0.0,0,1
1269,c2.piano.io,81,0.1358024691358024,0,1
1271,1003891.metrics.convertexperiments.com,1,1.0,1,0
1272,buy.tinypass.com,210,0.0333333333333333,0,1
1279,js.usemessages.com,60,0.0,0,1
1280,js.hs-banner.com,269,0.0,0,1
1283,js.hubspotfeedback.com,8,0.0,0,1
1288,id.tinypass.com,25,0.0,0,1
1293,kit.fontawesome.com,126,0.0,0,1
1302,cdn.polyfill.io,70,0.0,0,1
1306,consent.truste.com,24,0.0,0,1
1308,a.bf-ad.net,6,1.0,1,0
1312,www.nbcudigitaladops.com,5,0.4,0,1
1316,mid.rkdms.com,20,1.0,1,0
1332,pinpoint.espn.com,6,0.0,0,1
1338,secure.espncdn.com,8,0.125,0,1
1341,d-ipv6.mmapiws.com,4,0.0,0,1
1350,www.bluehost.com,7,0.1428571428571428,0,1
1351,api.usw2.pure.cloud,39,0.358974358974359,0,1
1355,www.dailymotion.com,3,0.0,0,1
1383,us-central1-adaptive-growth.cloudfunctions.net,126,1.0,1,0
