,id,count,tracking,binary_tracker,prediction
11394,593f92599dca4d91b3e2fbf6dea59d4b-07c0aec6173f.cdn.forter.com,3,0.0,0,1
11406,zn1ttxdo6pi4mebp8-coursehero.siteintercept.qualtrics.com,1,0.0,0,1
11407,znehd2b5bhhm2jxzg-adweekdigital.siteintercept.qualtrics.com,1,0.0,0,1
11408,zn9vlcpyfvcdmupxc-adweekdigital.siteintercept.qualtrics.com,1,0.0,0,1
11412,mediametrics.ru,11,0.0,0,1
11414,api.viqeo.tv,3,0.3333333333333333,0,1
11417,data.videonow.ru,2,0.0,0,1
11419,a.utraff.com,1,0.0,0,1
11420,rtb.com.ru,7,0.1428571428571428,0,1
11421,sync.videonow.ru,14,0.0,0,1
11422,7130943728013086200.sync.otm-r.com,3,0.0,0,1
11423,rtb.videonow.ru,3,0.0,0,1
11425,tech.rtb.mts.ru,10,0.0,0,1
11428,resources.roguewave.com,1,0.0,0,1
11433,www.perforce.com,1,0.0,0,1
11435,app.posthog.com,23,0.0,0,1
11444,player.twitch.tv,3,0.0,0,1
11445,a134769299.cdn.optimizely.com,1,0.0,0,1
11449,10709.global.siteimproveanalytics.io,1,0.0,0,1
11450,zn3wrtsyl9wwqdlxb-uscisomnichannel.gov1.siteintercept.qualtrics.com,1,0.0,0,1
11462,westthomson.demdex.net,1,1.0,1,0
11463,s1575097598.t.eloqua.com,1,0.0,0,1
11464,zn0jp8v8patw9lupg-trdigital.siteintercept.qualtrics.com,1,0.0,0,1
11470,api2.amplitude.com,6,0.0,0,1
11476,driftcsp.report-uri.com,14,0.0,0,1
11483,prod.webpu.sh,4,0.0,0,1
11490,api.xtremepush.com,10,0.0,0,1
11502,taggy.cohesionapps.com,6,0.0,0,1
11507,analytics.mercadolivre.com,1,0.0,0,1
11509,cdn.useproof.com,2,0.0,0,1
11510,frontiercomm.demdex.net,1,1.0,1,0
11513,dispawsusva.inmoment.com,4,0.0,0,1
11514,intercept-client.inmoment.com,1,0.0,0,1
11520,tapestry.tapad.com,4,0.0,0,1
11530,col.site24x7rum.in,5,0.0,0,1
11532,fifa.demdex.net,1,1.0,1,0
11554,66356693.global.siteimproveanalytics.io,1,0.0,0,1
11562,mng-mercurynews.zeustechnology.com,1,0.0,0,1
11572,secure-lc.livechatinc.com,2,0.0,0,1
11573,s.btstatic.com,40,0.0,0,1
11576,s.thebrighttag.com,12,0.0,0,1
11577,www.foo.software,4,0.0,0,1
11588,ibm.demdex.net,1,1.0,1,0
11590,smashsurprise.com,3,0.0,0,1
11598,vungledev.wpengine.com,2,0.0,0,1
11612,s1.bss.2gis.com,8,0.0,0,1
11618,image.crisp.chat,5,0.0,0,1
11634,kohls.demdex.net,1,1.0,1,0
11636,csp38.domdog.io,8,0.0,0,1
11643,timeoutcommunications.demdex.net,1,1.0,1,0
11644,zn88jixcivzfb3vpp-nci.siteintercept.qualtrics.com,2,0.0,0,1
11646,bf27853irn.bf.dynatrace.com,2,0.0,0,1
11652,api.rnet.plus,2,0.0,0,1
11653,autocontext.begun.ru,1,0.0,0,1
11661,strm-ams03.strm.yandex.net,1,0.0,0,1
11682,sdk-02.moengage.com,11,0.0,0,1
11692,a.clickcertain.com,2,0.0,0,1
11706,huijidata.com,1,0.0,0,1
11712,cdnapisec.kaltura.com,36,0.0,0,1
11714,d1je72vo6cxqo9.cloudfront.net,2,1.0,1,0
11721,seattle-times.zeustechnology.com,1,0.0,0,1
11726,cfvod.kaltura.com,7,0.0,0,1
11728,geo.ngtv.io,1,1.0,1,0
11741,sys.datadrivenpromotion.com,9,0.0,0,1
11744,02179914.akstat.io,10,0.0,0,1
11749,get.optad360.io,7,1.0,1,0
11751,arbo.hit.gemius.pl,3,0.3333333333333333,0,1
11760,discoverfinancialservices.demdex.net,1,1.0,1,0
11765,adobecorp.hb.omtrdc.net,1,1.0,1,0
11776,sonet.demdex.net,1,1.0,1,0
11799,11378.global.siteimproveanalytics.io,3,0.0,0,1
11805,pci3oo5mg4mn-a.akamaihd.net,2,0.0,0,1
11808,shaw.demdex.net,1,1.0,1,0
11810,hal90007.redintelligence.net,6,0.1666666666666666,0,1
11811,hal900027.redintelligence.net,8,0.0,0,1
11812,futalis.de,2,0.0,0,1
11813,cdn.retailads.net,2,0.0,0,1
