,id,count,tracking,binary_tracker,prediction
6940,cdn.umh.ua,2,0.0,0,1.0
6943,mg.mgid.com,1,1.0,1,0.0
6946,i.bigmir.net,1,1.0,1,0.0
6970,d3plfjw9uod7ab.cloudfront.net,22,1.0,1,0.0
6986,assistant.corover.mobi,3,0.0,0,1.0
7009,newsbot.unibots.in,1,1.0,1,0.0
7091,service.mtcaptcha.com,3,0.0,0,1.0
7100,cdn.statuspage.io,1,0.0,0,1.0
7115,s2.adxpremium.services,2,1.0,1,0.0
7118,cdn.hats-47b.com,1,1.0,1,0.0
7120,api.queryly.com,3,0.0,0,1.0
7185,metrics.kmsmep.com,8,1.0,1,0.0
7204,in-automate.sendinblue.com,2,0.0,0,1.0
7205,ams-pageview-public.s3.amazonaws.com,17,1.0,1,0.0
7222,zohotagmanager.cdn.pagesense.io,2,1.0,1,0.0
7258,api-esp-ap.piano.io,25,0.32,0,1.0
7283,config.playwire.com,16,0.0,0,1.0
7290,pb-stats.brid.tv,49,1.0,1,0.0
7323,plugins.blueconic.net,10,1.0,1,0.0
7334,stolotoru.webim.ru,2,0.0,0,1.0
7355,tracker.adreadyclick.com,3,0.0,0,1.0
7357,static.uptracs.com,2,1.0,1,0.0
7359,edge1.certona.net,8,0.0,0,1.0
7363,www.res-x.com,6,0.0,0,1.0
7377,campaign.fbot.me,2,0.0,0,1.0
7482,i.prcdn.co,47,0.0,0,1.0
7488,flowcards.mrf.io,43,0.0,0,1.0
7494,s.ytimg.com,12,0.0,0,1.0
7556,deqik.com,2,0.0,0,1.0
7563,js.aiservice.vn,2,0.0,0,1.0
7733,cdn.viously.com,1,0.0,0,1.0
7742,sta.cmh.com.tw,6,0.1666666666666666,0,1.0
7788,www.iolam.it,5,0.4,0,1.0
7806,consent.cookiebot.eu,6,0.0,0,1.0
7857,aifanfan.baidu.com,2,1.0,1,0.0
7906,zen.yandex.ru,2,0.0,0,1.0
7984,api.sanjagh.com,17,0.0,0,1.0
7992,api.cooladata.com,2,1.0,1,0.0
8025,web.localytics.com,2,1.0,1,0.0
8031,content.uplynk.com,25,0.0,0,1.0
8040,x-default-stgec.uplynk.com,20,0.0,0,1.0
8050,static.saavn.com,1,0.0,0,1.0
8156,tags.growingio.com,5,1.0,1,0.0
8158,img.polymorphicads.jp,17,1.0,1,0.0
8188,dale.performax.cz,2,1.0,1,0.0
8278,dai.google.com,56,0.0,0,1.0
8282,nst.trex.media,9,0.0,0,1.0
8298,d2t7a3zbo166a9.cloudfront.net,2,1.0,1,0.0
8303,js.hubspot.com,4,1.0,1,0.0
8310,events.getsitectrl.com,11,0.2727272727272727,0,1.0
8354,hb.bidder.taboola.com,3,0.0,0,1.0
8358,partner.blau.de,10,0.0,0,1.0
8396,afs.googleusercontent.com,4,1.0,1,0.0
8478,www.potaroo.net,1,0.0,0,1.0
8487,graphics.afpforum.com,3,0.0,0,1.0
8518,front.optimonk.com,13,0.0,0,1.0
8600,static.myopenads.com,3,1.0,1,0.0
8621,cdn.intergi.com,44,1.0,1,0.0
8796,collector-21619.us.tvsquared.com,1,1.0,1,0.0
8823,platform-cdn.sharethis.com,31,0.0,0,1.0
8934,chart.financialcontent.com,1,0.0,0,1.0
9001,assets.bonad.io,2,1.0,1,0.0
9037,static.pushe.co,15,0.0,0,1.0
9075,s2.getsitecontrol.com,8,0.0,0,1.0
9097,www.shopzilla.com,1,0.0,0,1.0
9099,connexity.net,1,1.0,1,0.0
9186,js-eu1.hs-banner.com,15,0.0,0,1.0
9292,scripts.mediavine.com,27,1.0,1,0.0
9324,tags.feedad.com,4,0.0,0,1.0
9338,stmg-prod.mirror.co.uk,3,1.0,1,0.0
9435,s.exitbee.com,6,1.0,1,0.0
9510,tag.measured.com,3,1.0,1,0.0
9511,web-sdk.control.kochava.com,12,0.8333333333333334,1,0.0
9521,fpf.hybrid.ai,3,1.0,1,0.0
9534,12920e44f7c9.d3cfd49f.eu-central-1.captcha.awswaf.com,1,0.0,0,1.0
9566,lbs-eu1.ads.betweendigital.com,1,0.0,0,1.0
9574,a.trstplse.com,4,1.0,1,0.0
9778,fs.bizspring.net,2,1.0,1,0.0
9784,mc.us15.list-manage.com,1,0.0,0,1.0
9791,p.cityspark.com,2,0.0,0,1.0
9820,media.innity.net,2,1.0,1,0.0
9824,rhea-cache.advividnetwork.com,4,0.0,0,1.0
9825,avividone.likr.tw,4,0.0,0,1.0
9899,ads.videoadex.com,2,1.0,1,0.0
9926,sponsorship-lines.zeustechnology.com,8,1.0,1,0.0
9982,router.funnelenvy.com,2,0.0,0,1.0
10108,sb.monetate.net,44,1.0,1,0.0
10136,ide.user1st.info,3,0.0,0,1.0
10168,static.growthrx.in,4,1.0,1,0.0
10299,ukdliketobepa.monster,1,0.0,0,1.0
10308,oceanicmb.advertserve.com,2,1.0,1,0.0
10322,widgets-red.media.weather.com,49,0.0,0,1.0
10375,campaigns.caroda.io,2,1.0,1,0.0
10433,cdn.sbgsodufuosmmvsdf.info,6,1.0,1,0.0
10466,i1.daumcdn.net,1,0.0,0,1.0
10474,r.boardgamearena.net,6,0.0,0,1.0
10512,cdn2.admatic.com.tr,5,1.0,1,0.0
10515,cdn5.admatic.com.tr,1,1.0,1,0.0
10576,secimg.vmmpxl.com,2,1.0,1,0.0
10582,player.anyclip.com,50,1.0,1,0.0
10590,ipv4.icanhazip.com,5,0.0,0,1.0
10596,marketplace.anyclip.com,126,0.0,0,1.0
10640,s.sarafan.fun,4,0.0,0,1.0
10685,cdn.engine.addroplet.com,2,1.0,1,0.0
10687,counts.air.tv,4,0.0,0,1.0
10731,media.theporndude.com,2,0.0,0,1.0
10733,eyebrowscrambledlater.com,3,1.0,1,0.0
10804,widgets.getpocket.com,5,0.0,0,1.0
10826,scripts.bestprice.gr,1,0.0,0,1.0
10837,demand.bidgear.com,6,1.0,1,0.0
10845,cathaypacific.queue-it.net,1,0.0,0,1.0
10859,cdn.medyanetads.com,3,1.0,1,0.0
10900,mantodea.mantisadnetwork.com,7,0.2857142857142857,0,1.0
10916,w-cached.cncenter.cz,1,0.0,0,1.0
10963,s.nitropay.com,9,1.0,1,0.0
10978,talkdeskchatsdk.talkdeskapp.com,2,0.0,0,1.0
10999,push.daksham.in,1,0.0,0,1.0
11000,img.ad-nex.com,9,1.0,1,0.0
11043,webcare.byside.com,2,1.0,1,0.0
11073,cdn.embedly.com,9,0.0,0,1.0
11077,preferences.trustarc.com,3,0.0,0,1.0
11088,hb-rollcall.s3.us-east-2.amazonaws.com,1,1.0,1,0.0
11128,ipa.elev.io,2,0.0,0,1.0
11179,obj.ibxk.com.br,2,0.5,1,0.0
11205,snippet.tldw.me,3,1.0,1,0.0
11211,rss.mrfood.com,4,0.0,0,1.0
11212,demo.tldw.me,4,1.0,1,0.0
11224,views.scientific-python.org,2,0.0,0,1.0
11339,crain-global.s3.amazonaws.com,3,0.0,0,1.0
11348,cnobi.jp,17,0.2352941176470588,0,1.0
11381,info.weather.yandex.net,1,0.0,0,1.0
11479,mktdplp102cdn.azureedge.net,2,0.0,0,1.0
11529,vozg.spxl.socy.es,1,1.0,1,0.0
11613,c.dcdn.es,1,1.0,1,0.0
11770,bitwarden.freshsales.io,1,0.0,0,1.0
11795,pt.wmptctl.com,3,0.0,0,1.0
11811,cta-eu1.hubspot.com,1,0.0,0,1.0
11846,cdn.epsilondelta.co,2,0.0,0,1.0
11870,media.najva.com,1,1.0,1,0.0
11888,sherpa-server-arm-prd28.gacraft.jp,7,0.0,0,1.0
11937,dmp.sbermarketing.ru,3,0.0,0,1.0
11996,app.ecwid.com,1,0.0,0,1.0
12026,07c0aec6173f.cdn4.forter.com,1,1.0,1,0.0
12054,data.videonow.ru,3,0.0,0,1.0
12100,events.mapbox.com,2,0.0,0,1.0
12142,tamaegis.com,15,0.4,0,1.0
12149,us-central1-csp-violation-report-service.cloudfunctions.net,7,0.0,0,1.0
12151,dap.hindustantimes.com,4,0.0,0,1.0
12159,collection.bgalytics.com,2,1.0,1,0.0
12371,login-static.dpgmedia.net,6,0.0,0,1.0
12372,myprivacy-static.dpgmedia.net,33,0.0303030303030303,0,1.0
12394,api.hurpass.com,1,1.0,1,0.0
12583,imagazine.advertserve.com,2,1.0,1,0.0
12639,code.moviead55.ru,1,1.0,1,0.0
12640,prodmp.ru,1,1.0,1,0.0
12651,content.livesportmedia.eu,4,1.0,1,0.0
12735,egenerator.wufoo.com,1,0.0,0,1.0
12891,wpfc.ml,1,1.0,1,0.0
13007,d169bbxks24g2u.cloudfront.net,2,1.0,1,0.0
13009,protect-us.mimecast.com,2,0.0,0,1.0
13014,js.isboost.co.jp,3,1.0,1,0.0
13068,px.effirst.com,2,1.0,1,0.0
13110,px.dynamicyield.com,1,0.0,0,1.0
13117,rcom.dynamicyield.com,2,0.0,0,1.0
13135,api.rnet.plus,2,1.0,1,0.0
13192,ads.isboost.co.jp,1,1.0,1,0.0
13197,app.chatplus.jp,19,0.1052631578947368,0,1.0
13261,clouddecrease.com,1,0.0,0,1.0
13379,sandbox.tinypass.com,3,0.0,0,1.0
13442,js.recurly.com,5,0.0,0,1.0
13497,api64.ipify.org,1,1.0,1,0.0
13506,heatmaps.monsido.com,8,1.0,1,0.0
13594,api.usw2.pure.cloud,12,0.3333333333333333,0,1.0
13815,xcollector.ptengine.jp,10,1.0,1,0.0
13988,btg.mtvnservices.com,5,0.0,0,1.0
14198,csp.walmart.com,3,0.0,0,1.0
14274,adimg.wisenut.co.kr,1,1.0,1,0.0
14515,cdn.leadchampion.com,1,1.0,1,0.0
14693,st.chatango.com,6,0.0,0,1.0
14729,live.clive.cloud,9,0.0,0,1.0
14755,api.boxever.com,23,0.0,0,1.0
14836,stat.radar.imgsmail.ru,5,1.0,1,0.0
14873,w.nativery.com,1,0.0,0,1.0
14933,fonts.nymag.com,12,0.0,0,1.0
14982,statchecker.yandex.ru,1,0.0,0,1.0
15076,api.ip.sb,1,1.0,1,0.0
15089,rt.adtiming.com,2,0.0,0,1.0
15116,us.ck-ie.com,3,0.0,0,1.0
15120,formstack.marketlinc.com,1,0.0,0,1.0
15179,cdn.tailwindcss.com,1,0.0,0,1.0
15192,an.adingo.jp,2,1.0,1,0.0
15206,fb.alimama.com,2,1.0,1,0.0
15298,kcc0.com,6,0.0,0,1.0
15410,asgdfasad.mm-cgnews.com,6,1.0,1,0.0
15417,c.leadlab.click,1,1.0,1,0.0
15422,www.adobetag.com,2,1.0,1,0.0
15445,analytics.codigo.se,2,1.0,1,0.0
15500,collectorsvc.apac.vesta.io,5,0.0,0,1.0
15505,www.tieszhu.com,6,0.0,0,1.0
15514,static.accesstrade.vn,1,0.0,0,1.0
15515,t.cfjump.com,1,1.0,1,0.0
15546,embedr.flickr.com,2,0.0,0,1.0
15555,assets.netizen.co,1,1.0,1,0.0
15557,trends.netizen.co,9,1.0,1,0.0
15565,cdn.tpdads.com,10,1.0,1,0.0
15583,api.phoenix-widget.com,1,0.0,0,1.0
15651,d26b395fwzu5fz.cloudfront.net,2,0.5,1,0.0
15660,outoctillerytor.com,1,1.0,1,0.0
15708,player.vuukle.com,13,0.6923076923076923,1,0.0
15712,servs.vuukle.com,6,0.0,0,1.0
15763,api.saambaa.com,2,1.0,1,0.0
15810,i.konduto.com,2,0.0,0,1.0
15852,stats1.wpmudev.com,1,0.0,0,1.0
15910,resources.yaiser.com,1,1.0,1,0.0
16026,request-global.czilladx.com,2,1.0,1,0.0
16181,chewy.custhelp.com,1,0.0,0,1.0
16210,cdn.m-pathy.com,3,1.0,1,0.0
16302,cdn.popt.in,5,1.0,1,0.0
16304,display.popt.in,3,1.0,1,0.0
16338,web.aips-sol.com,1,0.0,0,1.0
16378,scripts.kissmetrics.com,1,1.0,1,0.0
16393,analytics.digitalpfizer.com,1,1.0,1,0.0
16494,media.admob.com,1,1.0,1,0.0
16529,cdn.crowdtwist.com,1,1.0,1,0.0
16545,cloudfront.loggly.com,1,1.0,1,0.0
16548,realtime.bbcl.cl,1,0.0,0,1.0
16714,vms.boldchat.com,11,0.0,0,1.0
16745,mu-ax-s.lemnisk.co,1,0.0,0,1.0
16820,chart.googleapis.com,1,0.0,0,1.0
16917,code.usergram.info,1,0.0,0,1.0
17090,accounts.indianexpress.com,1,0.0,0,1.0
17128,static-cdn.spot.im,10,0.7,1,0.0
17135,americanbar.asknice.ly,1,0.0,0,1.0
17203,vms-players.minutemediaservices.com,1,1.0,1,0.0
17223,content.zeronaught.com,2,1.0,1,0.0
17225,cdn.evergage.com,1,1.0,1,0.0
17262,stunninglover.com,1,1.0,1,0.0
17306,p.lp4.io,1,1.0,1,0.0
17324,fp.holmesmind.com,4,0.0,0,1.0
17334,e1.envoke.com,1,0.0,0,1.0
17347,www.storygize.net,2,1.0,1,0.0
17491,cc-api-data.adobe.io,14,1.0,1,0.0
17610,data.goasrv.com,1,1.0,1,0.0
17658,beacon.sftoaa.com,1,0.0,0,1.0
17669,launcher-sa.spot.im,1,0.0,0,1.0
17673,180790.t.hyros.com,5,0.0,0,1.0
17713,sa.suning.cn,4,0.0,0,1.0
17752,stat.clickfrog.ru,2,0.0,0,1.0
17806,a.giraff.io,1,1.0,1,0.0
17807,s.uuidksinc.net,3,0.0,0,1.0
17908,d.rageagainstthesoap.com,2,1.0,1,0.0
17956,bot.webpushr.com,2,0.0,0,1.0
17975,4d.condenastdigital.com,2,0.5,1,0.0
18042,front-perf.like-video.com,7,0.0,0,1.0
18142,d319npt3v4xvhs.cloudfront.net,2,0.0,0,1.0
18291,c.qtstat.com,2,0.0,0,1.0
18305,conversation.ultainc.com,1,0.0,0,1.0
18351,scb-server-side-gtm.ew.r.appspot.com,2,0.0,0,1.0
18354,static-web.likeevideo.com,5,0.0,0,1.0
18389,docs.google.com,7,0.0,0,1.0
18474,secure.everyaction.com,6,0.0,0,1.0
18580,globalsiteanalytics.com,1,1.0,1,0.0
18588,www.pages02.net,1,0.0,0,1.0
18597,static.wi-fi.ru,4,0.0,0,1.0
18601,s02.yapfiles.ru,2,0.0,0,1.0
18652,eventlog.outbrain.com,1,0.0,0,1.0
18675,fr.web.img5.acsta.net,2,0.5,1,0.0
18705,www.talkable.com,3,0.6666666666666666,1,0.0
