stage,skip,self,final_linear,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
skipsum,2,add,True,199,0.2486,0.0033,31494.0,3.7246,0.029,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,2,concat,False,199,0.2486,0.0033,31494.0,3.8558,0.0916,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,2,concat,True,199,0.2486,0.0033,31494.0,2.8954,0.9082,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,2,none,False,199,0.2486,0.0033,31494.0,3.4,0.5252,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,2,none,True,199,0.2486,0.0033,31494.0,3.6794,0.0845,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
stack,0,add,False,199,0.2474,0.0026,31494.0,3.6585,0.0533,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,0,add,True,199,0.2474,0.0026,31494.0,3.592,0.1057,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,0,concat,False,199,0.2474,0.0026,31494.0,3.614,0.1149,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,0,concat,True,199,0.2474,0.0026,31494.0,3.5789,0.1644,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,0,none,False,199,0.2474,0.0026,31494.0,3.6849,0.0481,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,0,none,True,199,0.2474,0.0026,31494.0,3.7392,0.0444,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,add,False,199,0.2474,0.0026,31494.0,3.7878,0.0526,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,add,True,199,0.2474,0.0026,31494.0,3.647,0.1138,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,concat,False,199,0.2474,0.0026,31494.0,3.5004,0.1565,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,concat,True,199,0.2474,0.0026,31494.0,3.5406,0.114,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,none,False,199,0.2474,0.0026,31494.0,3.6392,0.1413,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,1,none,True,199,0.2474,0.0026,31494.0,3.061,0.6791,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,add,False,199,0.2474,0.0026,31494.0,2.5241,1.1972,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,add,True,199,0.2474,0.0026,31494.0,2.5158,1.0869,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,concat,False,199,0.2474,0.0026,31494.0,1.1633,0.0204,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,concat,True,199,0.2474,0.0026,31494.0,1.0528,0.1161,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,none,False,199,0.2474,0.0026,31494.0,0.8931,0.1721,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
stack,2,none,True,199,0.2474,0.0026,31494.0,0.8518,0.1964,0.8872,0.0002,0.8339,0.0019,0.8167,0.0035,0.8252,0.0009,0.9584,0.001
