stage,skip,self,final_linear,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
skipsum,2,add,True,198,0.2468,0.0034,31494.0,3.836,0.0858,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
skipsum,2,concat,False,198,0.2468,0.0034,31494.0,3.749,0.0252,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
skipsum,2,concat,True,198,0.2468,0.0034,31494.0,3.0086,0.8733,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
skipsum,2,none,False,198,0.2468,0.0034,31494.0,3.1173,0.6301,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
skipsum,2,none,True,198,0.2468,0.0034,31494.0,3.6666,0.2017,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
stack,0,add,False,191,0.2458,0.0015,31494.0,3.6322,0.0813,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,0,add,True,191,0.2458,0.0015,31494.0,3.702,0.0283,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,0,concat,False,191,0.2458,0.0015,31494.0,3.6813,0.0155,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,0,concat,True,191,0.2458,0.0015,31494.0,3.6218,0.0471,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,0,none,False,191,0.2458,0.0015,31494.0,3.5623,0.2697,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,0,none,True,191,0.2458,0.0015,31494.0,3.698,0.0812,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,add,False,191,0.2458,0.0015,31494.0,3.6383,0.0549,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,add,True,191,0.2458,0.0015,31494.0,3.6854,0.0532,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,concat,False,191,0.2458,0.0015,31494.0,3.8328,0.0346,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,concat,True,191,0.2458,0.0015,31494.0,3.7675,0.0209,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,none,False,191,0.2458,0.0015,31494.0,3.7554,0.0425,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,1,none,True,191,0.2458,0.0015,31494.0,3.7814,0.0082,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,add,False,191,0.2458,0.0015,31494.0,3.6869,0.019,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,add,True,191,0.2458,0.0015,31494.0,3.601,0.0958,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,concat,False,191,0.2458,0.0015,31494.0,1.1646,0.0019,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,concat,True,191,0.2458,0.0015,31494.0,1.0586,0.1062,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,none,False,191,0.2458,0.0015,31494.0,0.9228,0.1814,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
stack,2,none,True,191,0.2458,0.0015,31494.0,0.8886,0.192,0.8881,0.0011,0.8362,0.0037,0.817,0.0013,0.8264,0.0011,0.959,0.0006
