Chrome 2022,accuracy,precision,recall,f1_score
RandomForestClassifier,0.8873322809786898,0.8685973481723258,0.8790477668264741,0.8734045520986761
XGBClassifier,0.8837805840568271,0.8666984491790928,0.8693233263714951,0.8679859001667947
