Chrome 2023,accuracy,precision,recall,f1_score
RandomForestClassifier,0.8883265856950068,0.8646599051597641,0.8861232066578797,0.873721881390593
XGBClassifier,0.8655954790823212,0.839510941170179,0.8612721774054419,0.8484530566911087
