Firefox 2022,accuracy,precision,recall,f1_score
RandomForestClassifier,0.8145039382608004,0.7305785580890666,0.8245770464919315,0.753532455469085
XGBClassifier,0.7695122921473466,0.7036994281154589,0.8114233043584944,0.7147788614189348
