Brave 2022,accuracy,precision,recall,f1_score
RandomForestClassifier,0.910664358940221,0.5197559127124161,0.7380853371962643,0.516307492506668
XGBClassifier,0.9198508853681268,0.5188986145628709,0.7041434750891058,0.5173971421374626
