Dataset,Accuracy,Precision,Recall,F1 Score
chrome-run-01,0.8651827294971979,0.7289841565703634,0.939015606242497,0.8207764952780693
chrome-run-02,0.8641233957376663,0.7290118870728083,0.9351918036692876,0.8193299238075358
