channels,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
128,161,0.2252,0.0001,120326.0,1.5719,0.395,0.8978,0.0008,0.8482,0.0007,0.8361,0.0041,0.8421,0.0017,0.9656,0.0001
16,182,0.3372,0.0101,2502.0,0.6434,0.0997,0.8413,0.0019,0.7558,0.002,0.7582,0.0045,0.757,0.0033,0.9227,0.0037
32,177,0.2882,0.0029,8582.0,0.4725,0.1419,0.8676,0.0017,0.8,0.0005,0.7915,0.0064,0.7958,0.0035,0.9436,0.0012
64,164,0.2579,0.0102,31494.0,1.0596,0.0086,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
