channels,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
128,191,0.2119,0.0018,120326.0,1.468,0.4734,0.9058,0.0018,0.8602,0.0016,0.8492,0.0046,0.8547,0.0031,0.9699,0.0005
16,197,0.3344,0.0087,2502.0,0.4081,0.0727,0.8438,0.002,0.7599,0.0029,0.7614,0.0036,0.7607,0.0033,0.9244,0.003
32,194,0.2864,0.0038,8582.0,0.4857,0.1675,0.8679,0.0023,0.8013,0.0028,0.791,0.0047,0.7961,0.0038,0.9446,0.0015
64,198,0.2468,0.0034,31494.0,0.8332,0.0337,0.8892,0.0016,0.8361,0.0035,0.821,0.0009,0.8284,0.0021,0.959,0.001
