l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
1,3,2,max,gatconv,186,0.3541,0.0166,5669.0,2.1663,0.1219,0.828,0.013,0.7358,0.0296,0.7395,0.0013,0.7373,0.0143,0.9105,0.0094
1,3,2,max,gcnconv,188,0.3481,0.0012,5477.0,1.6667,0.079,0.8346,0.0006,0.7423,0.0034,0.7551,0.0045,0.7486,0.0005,0.9145,0.0003
1,3,2,max,sageconv,198,0.2968,0.0024,8549.0,1.2842,0.167,0.869,0.0038,0.8094,0.0091,0.7824,0.0009,0.7956,0.0049,0.943,0.0015
1,3,2,mean,gatconv,186,0.3541,0.0166,5669.0,2.1994,0.0731,0.828,0.013,0.7358,0.0296,0.7395,0.0013,0.7373,0.0143,0.9105,0.0094
1,3,2,mean,gcnconv,188,0.3481,0.0012,5477.0,1.415,0.1148,0.8346,0.0006,0.7423,0.0034,0.7551,0.0045,0.7486,0.0005,0.9145,0.0003
1,3,2,mean,sageconv,198,0.2968,0.0024,8549.0,1.3778,0.116,0.869,0.0038,0.8094,0.0091,0.7824,0.0009,0.7956,0.0049,0.943,0.0015
2,2,1,add,gatconv,179,0.3197,0.0051,4549.0,1.6189,0.067,0.8473,0.0048,0.7734,0.0079,0.752,0.007,0.7626,0.0074,0.9278,0.0028
2,2,1,add,gcnconv,175,0.3155,0.0032,4421.0,1.2834,0.0983,0.8504,0.0027,0.7658,0.0034,0.7797,0.0059,0.7727,0.0046,0.93,0.0019
2,2,1,add,sageconv,192,0.2896,0.003,6469.0,1.1778,0.0232,0.8673,0.0029,0.8073,0.0055,0.779,0.003,0.7929,0.0043,0.9431,0.0016
2,2,1,max,gatconv,179,0.3197,0.0051,4549.0,1.8096,0.3695,0.8473,0.0048,0.7734,0.0079,0.752,0.007,0.7626,0.0074,0.9278,0.0028
2,2,1,max,gcnconv,175,0.3155,0.0032,4421.0,1.275,0.0349,0.8504,0.0027,0.7658,0.0034,0.7797,0.0059,0.7727,0.0046,0.93,0.0019
2,2,1,max,sageconv,192,0.2896,0.003,6469.0,1.2572,0.033,0.8673,0.0029,0.8073,0.0055,0.779,0.003,0.7929,0.0043,0.9431,0.0016
2,2,1,mean,gatconv,179,0.3197,0.0051,4549.0,1.9284,0.1707,0.8473,0.0048,0.7734,0.0079,0.752,0.007,0.7626,0.0074,0.9278,0.0028
2,2,1,mean,gcnconv,175,0.3155,0.0032,4421.0,1.1369,0.0312,0.8504,0.0027,0.7658,0.0034,0.7797,0.0059,0.7727,0.0046,0.93,0.0019
2,2,1,mean,sageconv,192,0.2896,0.003,6469.0,1.2046,0.0957,0.8673,0.0029,0.8073,0.0055,0.779,0.003,0.7929,0.0043,0.9431,0.0016
2,2,2,add,gatconv,187,0.3392,0.0018,5605.0,1.851,0.063,0.8369,0.0015,0.7582,0.0133,0.7346,0.0186,0.7458,0.0031,0.9198,0.0005
2,2,2,add,gcnconv,187,0.3313,0.0013,5477.0,1.3917,0.1332,0.8506,0.0008,0.7737,0.0017,0.7656,0.0003,0.7696,0.0011,0.9278,0.0005
2,2,2,add,sageconv,188,0.3012,0.0026,7525.0,1.375,0.0242,0.8682,0.0037,0.8039,0.0075,0.7879,0.003,0.7958,0.0052,0.942,0.0016
2,2,2,max,gatconv,187,0.3392,0.0018,5605.0,2.0147,0.0909,0.8369,0.0015,0.7582,0.0133,0.7346,0.0186,0.7458,0.0031,0.9198,0.0005
2,2,2,max,gcnconv,187,0.3313,0.0013,5477.0,1.5638,0.1291,0.8506,0.0008,0.7737,0.0017,0.7656,0.0003,0.7696,0.0011,0.9278,0.0005
2,2,2,max,sageconv,188,0.3012,0.0026,7525.0,1.4216,0.0675,0.8682,0.0037,0.8039,0.0075,0.7879,0.003,0.7958,0.0052,0.942,0.0016
2,2,2,mean,gatconv,187,0.3392,0.0018,5605.0,2.0575,0.0063,0.8369,0.0015,0.7582,0.0133,0.7346,0.0186,0.7458,0.0031,0.9198,0.0005
2,2,2,mean,gcnconv,187,0.3313,0.0013,5477.0,1.6135,0.0589,0.8506,0.0008,0.7737,0.0017,0.7656,0.0003,0.7696,0.0011,0.9278,0.0005
2,2,2,mean,sageconv,188,0.3012,0.0026,7525.0,1.354,0.0407,0.8682,0.0037,0.8039,0.0075,0.7879,0.003,0.7958,0.0052,0.942,0.0016
2,3,1,add,gatconv,168,0.3335,0.0025,5702.0,2.5898,0.1051,0.8348,0.0002,0.7486,0.0035,0.7428,0.0083,0.7456,0.0024,0.919,0.0009
2,3,1,add,gcnconv,180,0.3246,0.0016,5510.0,1.8025,0.1164,0.8408,0.0029,0.7538,0.0059,0.7602,0.0012,0.757,0.0035,0.9248,0.0012
2,3,1,add,sageconv,177,0.2866,0.0016,8582.0,1.523,0.1552,0.87,0.0001,0.818,0.0019,0.7735,0.0021,0.7951,0.0002,0.9438,0.0004
2,3,1,max,gatconv,168,0.3335,0.0025,5702.0,2.5429,0.0281,0.8348,0.0002,0.7486,0.0035,0.7428,0.0083,0.7456,0.0024,0.919,0.0009
2,3,1,max,gcnconv,180,0.3246,0.0016,5510.0,1.89,0.0507,0.8408,0.0029,0.7538,0.0059,0.7602,0.0012,0.757,0.0035,0.9248,0.0012
