l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
1,3,2,max,gatconv,199,0.3562,0.0149,5669.0,2.2478,0.0555,0.8263,0.0105,0.7332,0.0266,0.7372,0.007,0.7348,0.0099,0.9092,0.0085
1,3,2,max,gcnconv,199,0.3497,0.0022,5477.0,1.5583,0.0182,0.8344,0.0015,0.7426,0.0068,0.7538,0.0069,0.748,0.0,0.9136,0.0011
1,3,2,max,sageconv,199,0.2987,0.0019,8549.0,1.5072,0.0147,0.8679,0.0035,0.8082,0.007,0.78,0.003,0.7938,0.0049,0.9422,0.0009
1,3,2,mean,gatconv,199,0.3562,0.0149,5669.0,2.0369,0.0446,0.8263,0.0105,0.7332,0.0266,0.7372,0.007,0.7348,0.0099,0.9092,0.0085
1,3,2,mean,gcnconv,199,0.3497,0.0022,5477.0,1.6098,0.0496,0.8344,0.0015,0.7426,0.0068,0.7538,0.0069,0.748,0.0,0.9136,0.0011
1,3,2,mean,sageconv,199,0.2987,0.0019,8549.0,1.5947,0.017,0.8679,0.0035,0.8082,0.007,0.78,0.003,0.7938,0.0049,0.9422,0.0009
2,2,1,add,gatconv,199,0.3202,0.0035,4549.0,1.7169,0.0991,0.8474,0.0,0.7753,0.0016,0.7494,0.0026,0.7621,0.0006,0.9272,0.0015
2,2,1,add,gcnconv,199,0.3182,0.0026,4421.0,1.2692,0.0429,0.8472,0.0033,0.7641,0.007,0.7684,0.0011,0.7662,0.004,0.9282,0.0016
2,2,1,add,sageconv,199,0.2913,0.0035,6469.0,1.1424,0.0431,0.867,0.0029,0.8067,0.0065,0.7788,0.0015,0.7924,0.004,0.9424,0.0015
2,2,1,max,gatconv,199,0.3202,0.0035,4549.0,1.6644,0.015,0.8474,0.0,0.7753,0.0016,0.7494,0.0026,0.7621,0.0006,0.9272,0.0015
2,2,1,max,gcnconv,199,0.3182,0.0026,4421.0,1.2812,0.0422,0.8472,0.0033,0.7641,0.007,0.7684,0.0011,0.7662,0.004,0.9282,0.0016
2,2,1,max,sageconv,199,0.2913,0.0035,6469.0,1.202,0.0647,0.867,0.0029,0.8067,0.0065,0.7788,0.0015,0.7924,0.004,0.9424,0.0015
2,2,1,mean,gatconv,199,0.3202,0.0035,4549.0,1.9869,0.1079,0.8474,0.0,0.7753,0.0016,0.7494,0.0026,0.7621,0.0006,0.9272,0.0015
2,2,1,mean,gcnconv,199,0.3182,0.0026,4421.0,1.332,0.002,0.8472,0.0033,0.7641,0.007,0.7684,0.0011,0.7662,0.004,0.9282,0.0016
2,2,1,mean,sageconv,199,0.2913,0.0035,6469.0,1.3548,0.2024,0.867,0.0029,0.8067,0.0065,0.7788,0.0015,0.7924,0.004,0.9424,0.0015
2,2,2,add,gatconv,199,0.3399,0.0021,5605.0,1.8778,0.1517,0.8359,0.0029,0.7566,0.0137,0.7332,0.0128,0.7445,0.0001,0.9193,0.0009
2,2,2,add,gcnconv,199,0.3338,0.0018,5477.0,1.4546,0.1175,0.8478,0.0001,0.769,0.0002,0.762,0.0001,0.7654,0.0,0.9262,0.0
2,2,2,add,sageconv,199,0.302,0.0023,7525.0,1.3954,0.0101,0.869,0.0027,0.8061,0.0044,0.7874,0.0039,0.7966,0.0041,0.9416,0.0012
2,2,2,max,gatconv,199,0.3399,0.0021,5605.0,1.8671,0.1054,0.8359,0.0029,0.7566,0.0137,0.7332,0.0128,0.7445,0.0001,0.9193,0.0009
2,2,2,max,gcnconv,199,0.3338,0.0018,5477.0,1.503,0.0524,0.8478,0.0001,0.769,0.0002,0.762,0.0001,0.7654,0.0,0.9262,0.0
2,2,2,max,sageconv,199,0.302,0.0023,7525.0,1.457,0.0222,0.869,0.0027,0.8061,0.0044,0.7874,0.0039,0.7966,0.0041,0.9416,0.0012
2,2,2,mean,gatconv,199,0.3399,0.0021,5605.0,2.164,0.0765,0.8359,0.0029,0.7566,0.0137,0.7332,0.0128,0.7445,0.0001,0.9193,0.0009
2,2,2,mean,gcnconv,199,0.3338,0.0018,5477.0,1.5401,0.0196,0.8478,0.0001,0.769,0.0002,0.762,0.0001,0.7654,0.0,0.9262,0.0
2,2,2,mean,sageconv,199,0.302,0.0023,7525.0,1.4945,0.0518,0.869,0.0027,0.8061,0.0044,0.7874,0.0039,0.7966,0.0041,0.9416,0.0012
2,3,1,add,gatconv,199,0.3363,0.0015,5702.0,2.345,0.2091,0.8328,0.001,0.7474,0.0024,0.736,0.0096,0.7416,0.0037,0.9168,0.0005
2,3,1,add,gcnconv,199,0.327,0.0005,5510.0,1.8334,0.0122,0.8394,0.0019,0.7519,0.0043,0.7573,0.0002,0.7546,0.0022,0.9234,0.0008
2,3,1,add,sageconv,199,0.2891,0.0018,8582.0,1.6536,0.1206,0.8676,0.0009,0.8088,0.0042,0.778,0.003,0.7931,0.0005,0.9428,0.0005
2,3,1,max,gatconv,199,0.3363,0.0015,5702.0,2.6901,0.0942,0.8328,0.001,0.7474,0.0024,0.736,0.0096,0.7416,0.0037,0.9168,0.0005
2,3,1,max,gcnconv,199,0.327,0.0005,5510.0,1.7292,0.1966,0.8394,0.0019,0.7519,0.0043,0.7573,0.0002,0.7546,0.0022,0.9234,0.0008
2,3,1,max,sageconv,199,0.2891,0.0018,8582.0,1.893,0.177,0.8676,0.0009,0.8088,0.0042,0.778,0.003,0.7931,0.0005,0.9428,0.0005
2,3,1,mean,gatconv,199,0.3363,0.0015,5702.0,2.6636,0.0048,0.8328,0.001,0.7474,0.0024,0.736,0.0096,0.7416,0.0037,0.9168,0.0005
2,3,1,mean,gcnconv,199,0.327,0.0005,5510.0,1.5859,0.1699,0.8394,0.0019,0.7519,0.0043,0.7573,0.0002,0.7546,0.0022,0.9234,0.0008
2,3,1,mean,sageconv,199,0.2891,0.0018,8582.0,1.5501,0.1208,0.8676,0.0009,0.8088,0.0042,0.778,0.003,0.7931,0.0005,0.9428,0.0005
2,3,2,add,gatconv,199,0.3515,0.0003,6758.0,2.434,0.3678,0.8294,0.0011,0.74,0.0064,0.7354,0.0186,0.7374,0.0062,0.9112,0.0003
2,3,2,add,gcnconv,199,0.341,0.0025,6566.0,1.4957,0.5558,0.8398,0.0016,0.7526,0.0044,0.7578,0.0013,0.7552,0.0015,0.9193,0.0021
2,3,2,add,sageconv,199,0.3051,0.0004,9638.0,1.6468,0.3827,0.8667,0.0007,0.8104,0.0013,0.7717,0.0049,0.7906,0.002,0.94,0.0005
2,3,2,max,gatconv,199,0.3515,0.0003,6758.0,1.4253,0.7075,0.8294,0.0011,0.74,0.0064,0.7354,0.0186,0.7374,0.0062,0.9112,0.0003
2,3,2,max,gcnconv,199,0.341,0.0025,6566.0,1.3365,0.3785,0.8398,0.0016,0.7526,0.0044,0.7578,0.0013,0.7552,0.0015,0.9193,0.0021
2,3,2,max,sageconv,199,0.3051,0.0004,9638.0,1.1113,0.4834,0.8667,0.0007,0.8104,0.0013,0.7717,0.0049,0.7906,0.002,0.94,0.0005
2,3,2,mean,gatconv,199,0.3515,0.0003,6758.0,0.9624,0.325,0.8294,0.0011,0.74,0.0064,0.7354,0.0186,0.7374,0.0062,0.9112,0.0003
2,3,2,mean,gcnconv,199,0.341,0.0025,6566.0,0.6267,0.0323,0.8398,0.0016,0.7526,0.0044,0.7578,0.0013,0.7552,0.0015,0.9193,0.0021
2,3,2,mean,sageconv,199,0.3051,0.0004,9638.0,0.6674,0.2112,0.8667,0.0007,0.8104,0.0013,0.7717,0.0049,0.7906,0.002,0.94,0.0005
